Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100R,
2,LS1,TerminalBlock_Altech_AK300-2_P5.00mm,1,Speaker,
3,"R2,R3",Potentiometer_Alps_RK09K_Single_Vertical,2,100k,RK09K113-LIN100K
4,BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
5,C1,C_Disc_D8.0mm_W2.5mm_P5.00mm,1,10nF,594-K103K10X7RF53H5 
6,J1,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,1,AudioJack2_SwitchT,179-SJ3-35083D-TR 
7,RV1,RV100F-30-4K1B-B10K-B301,1,10k,312-1001F-10K 
8,"U1,U2",DIP-8_W7.62mm,2,NE555P,595-NE555P 
9,R0,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,0R,CFR-25JT-52-0R
10,C3,CP_Radial_D6.3mm_P2.50mm,1,100uF,80-ESK107M025AE3AA 
11,C2,C_Disc_D8.0mm_W2.5mm_P5.00mm,1,100nF,594-K104K10X7RF5UH5 
12,D1,LED_D5.0mm,1,LED,
13,SW1,SW_E-Switch_EG1224_SPDT_Angled,1,SW_SPST,179-SLW12988565ARAND 
14,"R6,R1,R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,1k,
15,C4,CP_Radial_D5.0mm_P2.50mm,1,10uF,710-860010472002 
