Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
C1,C_Disc_D8.0mm_W2.5mm_P5.00mm,1,10nF,
C2,C_Disc_D8.0mm_W2.5mm_P5.00mm,1,100nF,
C3,CP_Radial_D6.3mm_P2.50mm,1,100uF,
C4,CP_Radial_D5.0mm_P2.50mm,1,10uF,
D1,LED_D5.0mm,1,LED,
J1,Jack_3.5mm_CUI_SJ-3524-THT_Horizontal,1,AudioJack2_SwitchT,
LS1,TerminalBlock_Altech_AK300-2_P5.00mm,1,Speaker,
R0,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,0,
"R1, R4, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,1k,
"R2, R3",Potentiometer_Alps_RK09K_Single_Vertical,2,100k,
"R5, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R,
RV1,Rotary poti,1,10k,
SW1,SLW-1298856-5A-RA-N-D,1,SW_SPST,
T1,TO-92_Inline,1,BC547,
"U1, U2",DIP-8_W7.62mm,2,NE555P,
